Station Code,Monitoring Location,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max
1448,"RIVER NAGAVALI AT THOTAPALLI REGULATOR, THOTAPALLI (V), GARUGUBILLI (M)",ANDHRA PRADESH,24,34,5.7,7.3,7,8.4,219,655,1.2,2.8,0.3,6.42,3,20,75,150,2,3
4351,"RIVER NAGAVALI IMMEDIATE BORDER BETWEEN ANDHRA
PRADESH & ORISSA STATES, NEAR SIVALAYAM, KUNERU (V), KOMARADA (M)",ANDHRA PRADESH,24,34,5.2,7.5,6.8,8.3,192,501,1,2.9,0.32,3.3,7,20,120,240,2,3
4346,"RIVER NAGAVALI NEAR NH- 16 BRIDGE, UPSTREAM (U/S) OF SRIKAKULAM TOWN, BEFORE CONFLUENCE OF TOWN SEWAGE",ANDHRA PRADESH,24,37,5.8,7.6,6.4,8.4,289,396,1.3,2.6,0.32,2.12,4,11,120,240,2,3
4347,"RIVER NAGAVALI NEAR WATER PUMP HOUSE (KILLIPALEM)
, DOWN STREAM (D/S) OF SRIKAKULAM TOWN, AFTER CONFLUENCE OF TOWN SEWAGE",ANDHRA PRADESH,24,37,5.4,8,6.3,8.5,275,398,1.5,2.7,0.3,1.82,7,20,210,460,2,3
2352,"RIVER VAMSADHARA, GARA (V & M)",ANDHRA PRADESH,20,36,5.2,8.2,7.1,8.3,165,349,1.3,2.8,0.3,1.62,3,11,75,210,2,3
4348,"RIVER VAMSADHARA, IMMEDIATE BORDER BETWEEN ANDHRA PRADESH & ORISSA STATES, NEAR LALITHAMBA TEMPLE, BATTILI (V) BHAMINI (M)",ANDHRA PRADESH,23,38,5.8,8.5,6.6,8.5,163,428,1,2.8,0.3,1.22,4,14,120,210,2,3
30040,"RIVER DAMAN GANGA AT ZERI CAUSEWAY BRIDGE, DAMAN (GUJARAT AND UT OF DAMAN,DIU,DADAR & NAGAR HAVELI AND GUJARAT)","DAMAN AND DIU, DADRA AND NAGAR
HAVELI",23,29,0.3,7.8,7.4,7.8,220,16362,2.5,8.4,1.33,2.5,35000,330000,92000,2200000,,
4372,"RIVER GOSTANI SAMPLE BEFORE CONFLUENCE WITH M/S DELTA PAPER MILL EFFLUENTS, VENDRA (V), PALAKODERU
(M)",ANDHRA PRADESH,24,30,0.3,5.6,7.1,8.1,714,5160,2.5,15,1.23,7.05,4,14,43,460,2,2
4373,"RIVER GOSTANI SAMPLE AFTER CONFLUENCE WITH M/S DELTA PAPEER MILL EFFLUENTS, BENDRA, PALAKODERU (M), BUT BEFORE CONFLUENCE WITH YANAMADURRU
DRAIN",ANDHRA PRADESH,25,30,0.3,5.5,7.1,7.9,698,4940,2.6,16,1.38,6.98,4,15,120,460,2,2
4358,"RIVER GOWTHAMI (GODAVARI) GOVALANKA, INJARAM (V), NEAR GMC BALAYOGI BRIDGE,   TALLAREVU (M)",ANDHRA PRADESH,25,28,6,7.4,6.8,7.9,226,45200,2,2.4,0,1.73,3,9,39,240,2,3
4365,RIVER VASISHTA GODAVARI UPSTREAM OF NARASAPURAM TOWN BEFORE CONFLUENCE OF TOWN SEWAGE,ANDHRA PRADESH,24,32,5.4,8.1,6.1,8.4,154,36500,1.2,2.6,0.3,1.72,4,21,93,240,2,3
4366,"RIVER VASISHTA GODAVARI DOWNSTREAM OF
NARASAPURAM TOWN AFTER CONFLUENCE OF TOWN SEWAGE",ANDHRA PRADESH,22,32,5,7.2,7.5,8.2,345,46300,1,2.9,0,2.25,7,15,210,460,2,3
5149,"RIVER BAHUDA AT NTR JALASAYAM, KALAVAGUNTA (V), PENUMURU (M)",ANDHRA PRADESH,24,30,5.1,6,7.6,8.1,1039,1556,1.2,2.3,0.34,0.94,114,416,454,980,,
5155,"RIVER YELERU AT YELERU  RESERVOIR,YELESWARAM (V & M)",ANDHRA PRADESH,24,27,6.4,7.5,7.3,8.3,243,491,1.6,2.2,0.32,1.22,2,20,43,240,2,3
5135,"RIVER AIE  NEAR RAKHALDUBI DIST., BONGAIGAON, ASSAM",ASSAM,20,33,5.1,5.5,6.8,7.4,130,178,2,2.6,0.6,1.3,360,730,1100,1500,95,290
5138,"RIVER, TUNIA  U/S BRPL, DHALIGAON, DIST. CHIRANG, ASSAM",ASSAM,21,35,4.4,5.4,6.9,7.5,130,168,2,2.7,0.6,2.1,360,720,910,1600,150,290
5139,"RIVER JAMUNA AT DOBOKA NEAR BRIDGE, DIST. HOJAI",ASSAM,19,30,5,6.9,6.9,7.6,128,164,2.1,2.4,0.6,1.6,360,940,1100,2000,120,290
5140,"RIVER BONDANJAN,  SLUICE GATE, BIRKUCHI NARENGI TINIALI, KHARGHULI, NO. 2",ASSAM,18,30,4.5,5.4,6.9,7.4,116,178,2,2.6,0.6,2,1500,2100,3400,3600,460,490
5141,"RIVER BASISTHA  BASISTHA CHARIALI, NUTAN BAZAAR,",ASSAM,19,33,4.8,7.5,6.9,7.8,130,168,2,2.6,0.4,1.4,1500,2100,2800,3600,400,490
5142,"RIVER PAMOHI  GACHUK, PAMOHI ROAD, GUWAHATI",ASSAM,21,34,4.3,5.4,7,7.5,190,278,2,2.7,0.6,2.2,1400,2000,2400,3500,290,490
5144,RIVER KALANADI NEAR  BAMUNJULI BRIDGE CROSSING AT MANGALDOI BHUTIACHANG,ASSAM,18,18,8.6,8.6,7.2,7.2,194,194,2.1,2.1,0.9,0.9,910,910,2000,2000,290,290
3791,"RIVER KALIANI NEAR KANAIGHAT BRIDGE, KANAIGHAT",ASSAM,19,31,5.8,9.8,7,7.7,120,148,2,2.6,0.5,2,360,730,910,1500,120,240
3796,RIVER KUJI (NEAR NEW BOGAGIGAON) NEAR WATER INTAKE POINT FOR NF RAILWAY,ASSAM,20,36,5.2,6.1,6.8,7.3,140,182,2,2.6,0.6,2,360,1100,1100,2100,150,290
3797,RIVER MANAS (SANTOSHPUR) NEAR LENGTISINGA,ASSAM,19,34,5.2,5.6,6.8,7.6,132,146,2,2.7,0.6,1.6,600,910,1100,2100,210,290
3799,RIVER KILLING IN MORIGAON DISTRICT,ASSAM,16,32,5.2,10.9,6.9,7.4,84,108,1.8,2.5,0.6,1.9,300,1100,910,2100,95,490
3810,RIVER KULSI AT CHAYGAON NEAR NH37 CROSSING,ASSAM,20,34,5.9,9.1,7.1,7.8,96,122,2.3,2.7,0.7,2,610,1100,1100,2100,210,290
3811,RIVER PUTHIMARI NEAR PUTHIMARI CHOWK AT NH CROSSING,ASSAM,19,34,5.7,8.3,7,8,140,178,2.1,2.7,0.6,1.2,620,930,1400,2300,210,290
4344,"RIVER TIHU (NEAR BRIDGE ALONG NH-31) TIHU, NALBARI",ASSAM,20,32,5,8.7,6.8,7.7,105,146,2,2.5,0.6,1,610,930,1400,2000,210,290
4345,"RIVER SINGRA (NEAR BRIDGE ALONG NH-37) BOKO, KAMRUP",ASSAM,19,34,5.5,10.4,6.9,7.3,102,118,2,2.5,0.6,1.8,360,940,910,2100,120,240
5599,RIVER GADADHAR AT GOLKGANJ BRIDGE,ASSAM,17,32,5.3,5.6,6.8,7.4,120,140,2,2.3,0.6,1,360,1100,1100,2000,120,290
5600,RIVER NAMDANG NEAR BRIDGE AT HATI PATTY GELEKY,ASSAM,18,31,5,6.6,6.5,7,132,208,1.7,2.5,0.6,1.1,300,360,720,910,100,140
5601,RIVER NAMDANG AT KALUGAON,ASSAM,18,30,5.1,7.2,6.5,7.2,118,188,2.1,2.6,0.7,1,300,720,730,1400,100,260
5602,"RIVER KAPILI AT KHERONI GHAT NEAR BRIDGE, WEST KARBI ANGLONG , KHERONI",ASSAM,22,29,5.3,8,6.8,7.6,118,142,2.2,2.5,0.6,0.9,720,930,1400,2000,120,460
5603,"RIVER DALOO AT DALOO, CACHAR",ASSAM,22,28,5,5.6,7.2,7.4,128,142,2.1,2.7,0.6,1,300,930,620,2000,95,290
5604,"RIVER EGO (SIMEN) NEAR SIMENCHAPORI BRIDGE,DHEMAJI",ASSAM,22,24,5.8,8.6,7,8,148,198,2,2.3,0.6,0.8,300,910,620,2000,95,290
5605,RIVER DISANG AT NANGALMARA GHAT,ASSAM,17,29,5.5,7.4,7,7.5,126,176,1.8,2.5,0.7,1.1,360,910,730,2800,130,350
5606,RIVER DIKHOW AT SIMALUGURI,ASSAM,20,29,6.5,7.9,7,7.8,120,156,1.6,2.7,0.6,1,720,1100,1400,2800,130,420
5607,RIVER TIHU AT D/S OF INDUSTRIAL AREAÂ Â  NEAR HELOCHAPARA SHIVA TEMPLE,ASSAM,21,32,5.1,7.5,7,7.8,116,198,2,2.4,0.7,1,360,1500,910,3500,120,490
5608,RIVER KULSI AT KUKURMARA,ASSAM,19,33,5.3,9.2,6.8,7.4,90,118,2,2.5,0.6,0.9,360,940,1400,2000,120,290
5609,RIVER TUNIA AT NEW BONGAIGAON RAILWAY STATION,ASSAM,22,35,5,5.8,7,7.4,132,156,2,2.6,0.6,1.2,300,1500,1100,2800,120,490
5611,RIVER MORNOI AT MORNOI GHAT,ASSAM,20,35,5.2,5.6,7,7.4,90,118,2,2.6,0.6,1.2,300,1100,610,2000,95,290
5613,RIVER DOOMDOOMA AT D/S OF DOOMDOOMA TOWN AT HANSARA,ASSAM,21,25,5.1,7.2,6.8,8.1,122,136,2,2.5,0.6,0.9,300,1500,720,3500,120,490
5614,RIVER BEGA AT D/S OF MANGALDOI TOWN,ASSAM,18,32,5,5.8,7,7.5,92,122,2.4,3.4,0.6,0.9,730,1900,1500,3500,210,490
5615,"RIVER GHOGRA NEAR ITI, SRIKONA MAIN BLOCK",ASSAM,19,24,5.5,6.3,7,7.2,103,134,2,2.5,0.6,0.9,360,2000,910,3500,95,490
5616,RIVER TUNIA AT NH NEAR BGR,ASSAM,22,35,4.3,5.6,7,7.5,126,150,2.1,2.7,0.7,1,730,1500,1500,3500,210,490
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",GOA,26,32,6.3,8.7,6.8,7.6,52,1912,1,1.6,0.32,0.5,170,3300,220,7900,70,350
1543,RIVER KALNA AT CHANDEL,GOA,25,32,5.8,7.9,6.7,7.5,48,120,1,1.8,0.32,0.53,350,2300,540,3500,68,350
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERWORKS, SANGUEM",GOA,28,34,6.7,7.6,6.6,7.7,45,120,1,1.8,0.32,1.02,230,2400,330,5400,49,540
1546,"RIVER KHANDEPAR AT OPA - PONDA, GOA",GOA,28,34,6,7.5,6.7,7.7,51,115,1,1.9,0.32,0.72,130,2300,220,4600,49,920
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",GOA,27,30,5.5,8,6.6,8.1,56,208,1,2.1,0.32,0.4,120,1700,350,2200,70,580
1545,RIVER MADEI AT DABOS,GOA,25,30,6,8.3,6.6,7.7,50,145,1,2,0.32,0.36,780,2100,1100,2500,94,390
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,27,30,5.2,7.3,6.8,7.9,232,43600,1,1.9,0.32,0.88,170,3300,230,4000,23,540
3186,RIVER MANDOVI AT IFFI JETTY,GOA,26,30,4.4,8.4,7.3,8.3,9461,53280,1,1.9,0.32,0.46,79,1300,110,3500,11,140
1400,RIVER MANDOVI AT PANAJI,GOA,27,32,4.8,7.1,7,8.2,3671,58390,1,1.9,0.32,0.84,78,2300,130,4900,23,430
1476,RIVER MANDOVI AT TONCA,GOA,27,30,5.4,7.2,6.8,7.8,178,44110,1,1.9,0.32,0.6,110,2200,110,3500,17,170
5102,RIVER MANDOVI DOWNSTREAM AT M/S VEDANTA PVT. LTD.,GOA,26,34,4.7,7.4,6.8,7.9,186,43600,1,2.1,0.32,1.02,45,4900,78,9200,8,700
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,26,30,4.2,6.9,6.7,8.3,9933,53520,1,1.9,0.32,0.56,49,3300,130,6300,20,330
5101,RIVER MANDOVI UPSTREAM AT M/S VEDANTA PVT. LTD.,GOA,26,34,4.8,7.4,6.4,7.9,54,41560,1,2,0.32,0.39,130,35000,170,92000,79,3500
10012,RIVER MANDOVI UPSTREAM AT RIBANDAR-CHODAN FERRY,GOA,27,32,5.6,7.3,6.9,8.1,1283,57260,1,1.9,0.32,0.48,70,1300,94,2300,33,350
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,27,32,1.8,7.2,6.6,7.3,59,8089,1,4.8,0.32,0.49,1300,4900,2200,7900,170,790
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28,30,1,6,6.5,7.7,57,446,1.5,25.4,0.32,7.41,2400,11000,4900,22000,490,1400
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,28,31,2.7,6.5,6.1,7.9,109,20240,1,5.5,0.32,0.86,680,3300,1100,5400,70,330
3176,RIVER SAL AT RUMDER,GOA,27,31,1.3,6.1,6.4,7.5,92,276,1,8,0.32,1.34,130,13000,230,35000,94,490
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",GOA,28,32,4.5,7.8,7.2,8.4,608,50770,1,1.9,0.32,0.78,78,3300,230,4700,70,700
2271,"RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,26,30,4.6,7,6.3,7.5,38,110,1,1.9,0.32,0.62,780,4900,1300,9400,92,790
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,26,31,4.4,7.3,7,8,20980,50780,1,1.9,0.32,0.32,700,2300,940,5400,79,490
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,26,31,4.7,7.8,7,7.9,22510,50950,1,1.9,0.32,0.37,330,4900,490,13000,110,540
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,28,31,5.2,7.6,6.6,8.4,32,100,1,1.9,0.32,0.34,78,1400,230,2200,49,210
3188,RIVER TIRACOL AT TIRACOL,GOA,26,31,4.1,8,7.1,8.1,5609,62530,1,1.9,0.32,0.81,94,9400,170,14000,40,3500
1544,RIVER VALVANTI AT SANQUELIM,GOA,24,30,6,8.1,6.5,7.6,37,77,1,1.4,0.32,0.82,780,3100,1500,4600,92,330
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,26,31,4.3,7.1,6.4,7.4,295,36650,1,2.2,0.32,1.44,450,3300,780,5400,68,490
1399,RIVER ZUARI AT CORTALIM,GOA,27,31,4.6,7.1,6.7,7.9,3513,57490,1,1.8,0.32,1.44,200,4900,330,7900,45,940
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,27,34,4.4,7,7,8,2136,55450,1,1.9,0.32,0.75,230,3300,490,7900,17,540
1475,RIVER ZUARI AT PANCHAWADI,GOA,27,32,4.3,7,6.5,7.3,81,21090,1,2.1,0.32,1.74,230,3500,330,9200,14,920
1148,RIVER AMBIKA AT BILIMORA,GUJARAT,28,31,6,7.3,7.4,8.4,248,46420,1.4,2.6,0.34,0.39,6,17,22,48,,
1434,RIVER AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT,26,34,0.3,4.3,7.3,8.1,720,2047,4,15,0.3,1.85,240,1600,540,1600,94,94
1980,"RIVER AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCHAT VILLAGE PUNGAM, TA: ANKLESHWAR, DIST
BHARUCH",GUJARAT,24,35,0.3,5.7,7.3,8.2,700,2045,2.6,19,0.55,2.7,70,1600,220,1600,,
1860,RIVER BALESHWAR KHADI AT N.H. NO. 8,GUJARAT,23,32,5,8,6.9,8.5,387,865,1,2.8,0.3,0.32,11,920,31,1600,2,94
1436,"RIVER BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,RIVER BHADAR AT DUBLIPAT NATIONAL HIGHWAY,(I.E. D/S JETPUR CITY),JETPUR ,
DIST:RAJ(ID:31211)",GUJARAT,27,35,0.3,6.5,7.2,8.4,430,9030,2.1,45,0.33,0.53,5,94,21,280,,
2072,"RIVER BHOGAVO D/S OF SURENDRANAGAR.AT WADHWAN BRIDGE, WADHWAN, TAL. WADHWAN, DIST.
SURENDRANAGAR",GUJARAT,25,28,1.5,6.4,7.1,8,1124,2432,2,5,0.36,0.5,13,49,70,220,,
30039,"RIVER DAMAN GANGA AT D/S OF GIDC WEIR, NEAR NH-48, VAPI, GUJARAT (UT OF DAMAN,DIU,DADAR & NAGAR HAVELI
AND GUJARAT)",GUJARAT,22.5,29,6.7,7.9,7.6,8.2,180,327,1.2,2.4,0.32,1.03,2400,35000,7000,92000,,
1246,"RIVER DAMANGANGA AT KACHIGAON D\S (DAMAN),RIVER DAMANGANGA AT KACHIGAON BRIDGE",GUJARAT,27,29,4,7.1,7.4,8.1,252,12270,1,2.2,0.32,0.64,4,540,350,1600,,
1150,"RIVER DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,RIVER DAMANGANGA AT GIDC WIER,",GUJARAT,27,28,6,7.3,7.8,8.2,202,404,1,1,0.32,0.34,2,21,63,920,,
1865,RIVER DHADAR AT KOTHADA,GUJARAT,27,30,0.7,4.3,7.6,8.9,560,1632,1,9,0.91,2.46,500,1600,900,1600,4,1600
1862,RIVER KAVERI ON BRIDGE AT BILLIMORA-VALSAD ROAD,GUJARAT,28,31,7,7.2,7.5,8.5,300,49530,1,2.6,0.33,0.43,4,17,17,48,,
1149,RIVER KOLAK AT PATALIA BDG.,GUJARAT,27,29,4.6,7.2,7.5,8.2,301,2566,1,2.8,0.32,0.52,4,920,120,1720,,
1435,"RIVER KOLAK AT RAILWAY BRIDGE NO. 313 VAPI, VALSAD,",GUJARAT,27,29,4.9,7.3,7.1,8.1,5303,75220,1,1.6,0.32,0.47,2,13,25,920,,
1438,"RIVER MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,",GUJARAT,23,32,5,6.9,7.3,8.4,261,1727,1.9,3,0.3,0.66,2,1600,2,1600,2,220
1861,RIVER PURNA ON BRIDGE AT SURAT-NAVSARI HIGHWAY,GUJARAT,28,30,5.5,8,6.5,8.4,290,1625,1,2.9,0.32,0.34,70,1600,280,1600,,
2082,"RIVER TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.NEAR TRIVENI SANGAM GHAT, AT:
SOMNATH, TAL: VERAVAL, DIST: GIR SOMNATH.",GUJARAT,24,32,6.2,6.7,7,7.6,630,10270,1.5,2.2,0.3,0.33,2,5,2,24,2,2
3204,"RIVER VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVERKHALIPUR
BRIDGE-VADODARA",GUJARAT,26,29,0.3,2.9,7.3,8.5,900,1612,5,11,0.82,1.1,1600,1600,1600,1600,21,1600
3205,"RIVER VISHWAMITRI UPSTREAM AT ASOD BRIDGE AT N.H. 8
, NEAR GLDEN CHOKDI, ASOD VEMALI ROADVILLAGE: ASOJ",GUJARAT,26,29,7.4,8.2,8,8.3,542,1150,1,1,0.36,2.08,2,30,11,350,2,2
4417,"RIVER BHUKHI KHADI, U/S OF GIDC VILAYAT, TA; VAGRA, DIST BHARUCH.RIVER BHUKHI KHADI, U/S OF GIDC VILAYAT, TA; VAGRA, DIST BHARUCH.",GUJARAT,28,32,6.1,8,7.4,8.4,287,2040,1,2.1,0.3,0.3,23,110,79,240,,
4418,"RIVER BHUKHI KHADI, D/S OF GIDC VILAYAT, TA; VAGRA, DIST BHARUCHRIVER BHUKHI KHADI, D/S OF GIDC VILAYAT,
TA; VAGRA, DIST BHARUCH",GUJARAT,28,32,6.1,7.6,7.3,8.4,300,1434,1,2.2,0.3,0.3,21,170,120,490,,
4419,"RIVER BHUKHI KHADI D/S OF GIDC SAYKHA, VILL: KOTHIYA
TA: VAGRA, DIST BHARUCHRIVER BHUKHI KHADI D/S OF GIDC SAYKHA, VILL: KOTHIYA TA: VAGRA, DIST BHARUCH",GUJARAT,28,31,6.6,7.5,7.5,8.4,310,1323,1,2.1,0.3,0.3,21,170,94,540,,
1024,"RIVER GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA), PUNJAB",PUNJAB,10,37,2.5,3.8,6.8,7.9,708,971,14,25,1.3,3.4,2700,6300,24000,35000,,
4160,"RIVER GHAGGAR D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI, PATIALA",PUNJAB,10,36,2.1,3.4,7.4,8.1,765,1010,14,29,1.3,3.6,3200,7000,28000,43000,,
